scientific_name_edited	Scientific Name	Common Name	provided_taxonomy_group	derived_kingdom_group	Kingdom	State
Bufo [Anaxyrus] quercicus	Bufo [Anaxyrus] quercicus	Oak Toad	Amphibians	Animals	Animalia	North Carolina
Hyla andersonii	Hyla andersonii	Pine Barrens Treefrog	Amphibians	Animals	Animalia	North Carolina
Hyla versicolor	Hyla versicolor	Northern Gray Treefrog	Amphibians	Animals	Animalia	North Carolina
Pseudacris brachyphona	Pseudacris brachyphona	Mountain Chorus Frog	Amphibians	Animals	Animalia	North Carolina
Pseudacris nigrita	Pseudacris nigrita	Southern Chorus Frog	Amphibians	Animals	Animalia	North Carolina
Pseudacris ornata	Pseudacris ornata	Ornate Chorus Frog	Amphibians	Animals	Animalia	North Carolina
Rana [Lithobates] capito	Rana [Lithobates] capito	Carolina Gopher Frog	Amphibians	Animals	Animalia	North Carolina
Rana [Lithobates] heckscheri	Rana [Lithobates] heckscheri	River Frog	Amphibians	Animals	Animalia	North Carolina
Rana sylvatica [Lithobates sylvaticus] pop.3	Rana sylvatica [Lithobates sylvaticus] pop.3	Wood Frog - Coastal Plain Pop.	Amphibians	Animals	Animalia	North Carolina
Ambystoma mabeei	Ambystoma mabeei	Mabee's Salamander	Amphibians	Animals	Animalia	North Carolina
Ambystoma talpoideum	Ambystoma talpoideum	Mole Salamander	Amphibians	Animals	Animalia	North Carolina
Ambystoma tigrinum tigrinum	Ambystoma tigrinum tigrinum	Eastern Tiger Salamander	Amphibians	Animals	Animalia	North Carolina
Cryptobranchus alleganiensis allaganiensis	Cryptobranchus alleganiensis allaganiensis	Eastern Hellbender	Amphibians	Animals	Animalia	North Carolina
Aneides aeneus	Aneides aeneus	Green Salamander	Amphibians	Animals	Animalia	North Carolina
Desmognathus aeneus	Desmognathus aeneus	Seepage Salamander	Amphibians	Animals	Animalia	North Carolina
Desmognathus auriculatus	Desmognathus auriculatus	Southern Dusky Salamander	Amphibians	Animals	Animalia	North Carolina
Desmognathus conanti	Desmognathus conanti	Spotted Dusky Salamander	Amphibians	Animals	Animalia	North Carolina
Desmognathus folkertsi	Desmognathus folkertsi	Dwarf Black-bellied Salamander	Amphibians	Animals	Animalia	North Carolina
