scientific_name_edited	Scientific Name	Common Name	provided_taxonomy_group	derived_kingdom_group	Kingdom	State
Cryptobranchus alleganiensis	Cryptobranchus alleganiensis	Hellbender	Amphibian	Animals	Animalia	Tennessee
Desmognathus welteri	Desmognathus welteri	Black Mountain Salamander	Amphibian	Animals	Animalia	Tennessee
Eurycea aquatica	Eurycea aquatica	Brown-backed Salamander	Amphibian	Animals	Animalia	Tennessee
Eurycea junaluska	Eurycea junaluska	Junaluska Salamander	Amphibian	Animals	Animalia	Tennessee
Necturus maculosus	Necturus maculosus	Mudpuppy	Amphibian	Animals	Animalia	Tennessee
Siren intermedia	Siren intermedia	Lesser Siren	Amphibian	Animals	Animalia	Tennessee
Actinonaias ligamentina	Actinonaias ligamentina	Mucket	Bivalve	Animals	Animalia	Tennessee
Actinonaias pectorosa	Actinonaias pectorosa	Pheasantshell	Bivalve	Animals	Animalia	Tennessee
Alasmidonta atropurpurea	Alasmidonta atropurpurea	Cumberland Elktoe	Bivalve	Animals	Animalia	Tennessee
Alasmidonta marginata	Alasmidonta marginata	Elktoe	Bivalve	Animals	Animalia	Tennessee
Alasmidonta raveneliana	Alasmidonta raveneliana	Appalachian Elktoe	Bivalve	Animals	Animalia	Tennessee
Alasmidonta viridis	Alasmidonta viridis	Slippershell Mussel	Bivalve	Animals	Animalia	Tennessee
Anodontoides denigratus	Anodontoides denigratus	Cumberland Papershell	Bivalve	Animals	Animalia	Tennessee
Cumberlandia monodonta	Cumberlandia monodonta	Spectaclecase	Bivalve	Animals	Animalia	Tennessee
Cyprogenia stegaria	Cyprogenia stegaria	Fanshell	Bivalve	Animals	Animalia	Tennessee
Dromus dromas	Dromus dromas	Dromedary Pearlymussel	Bivalve	Animals	Animalia	Tennessee
Elliptio arca	Elliptio arca	Alabama Spike	Bivalve	Animals	Animalia	Tennessee
Elliptio arctata	Elliptio arctata	Delicate Spike	Bivalve	Animals	Animalia	Tennessee
Epioblasma brevidens	Epioblasma brevidens	Cumberlandian Combshell	Bivalve	Animals	Animalia	Tennessee
Epioblasma capsaeformis	Epioblasma capsaeformis	Oyster Mussel	Bivalve	Animals	Animalia	Tennessee
Epioblasma florentina walkeri	Epioblasma florentina walkeri	Tan Riffleshell	Bivalve	Animals	Animalia	Tennessee
Epioblasma metastriata	Epioblasma metastriata	Upland Combshell	Bivalve	Animals	Animalia	Tennessee
Epioblasma obliquata obliquata	Epioblasma obliquata obliquata	Catspaw	Bivalve	Animals	Animalia	Tennessee
Epioblasma othcaloogensis	Epioblasma othcaloogensis	Southern Acornshell	Bivalve	Animals	Animalia	Tennessee
Epioblasma triquetra	Epioblasma triquetra	Snuffbox	Bivalve	Animals	Animalia	Tennessee
Fusconaia cor	Fusconaia cor	Shiny Pigtoe	Bivalve	Animals	Animalia	Tennessee
Fusconaia cuneolus	Fusconaia cuneolus	Finerayed Pigtoe	Bivalve	Animals	Animalia	Tennessee
Fusconaia subrotunda	Fusconaia subrotunda	Longsolid	Bivalve	Animals	Animalia	Tennessee
Hamiota altilis	Hamiota altilis	Finelined Pocketbook	Bivalve	Animals	Animalia	Tennessee
Hemistena lata	Hemistena lata	Cracking Pearlymussel	Bivalve	Animals	Animalia	Tennessee
Lampsilis abrupta	Lampsilis abrupta	Pink Mucket	Bivalve	Animals	Animalia	Tennessee
Lampsilis siliquoidea	Lampsilis siliquoidea	Fatmucket	Bivalve	Animals	Animalia	Tennessee
Lampsilis straminea claibornensis	Lampsilis straminea claibornensis	Southern Fatmucket	Bivalve	Animals	Animalia	Tennessee
Lampsilis virescens	Lampsilis virescens	Alabama Lampmussel	Bivalve	Animals	Animalia	Tennessee
Lasmigona complanata complanata	Lasmigona complanata complanata	White Heelsplitter	Bivalve	Animals	Animalia	Tennessee
Lasmigona holstonia	Lasmigona holstonia	Tennessee Heelsplitter	Bivalve	Animals	Animalia	Tennessee
Lasmigona sp. 1 cf. holstonia	Lasmigona sp. 1 cf. holstonia	Barrens Bankclimber	Bivalve	Animals	Animalia	Tennessee
Lasmigona subviridis	Lasmigona subviridis	Green Floater	Bivalve	Animals	Animalia	Tennessee
Lemiox rimosus	Lemiox rimosus	Birdwing Pearlymussel	Bivalve	Animals	Animalia	Tennessee
Leptodea leptodon	Leptodea leptodon	Scaleshell	Bivalve	Animals	Animalia	Tennessee
Ligumia recta	Ligumia recta	Black Sandshell	Bivalve	Animals	Animalia	Tennessee
Medionidus acutissimus	Medionidus acutissimus	Alabama Moccasinshell	Bivalve	Animals	Animalia	Tennessee
Medionidus conradicus	Medionidus conradicus	Cumberland Moccasinshell	Bivalve	Animals	Animalia	Tennessee
Medionidus parvulus	Medionidus parvulus	Coosa Moccasinshell	Bivalve	Animals	Animalia	Tennessee
Obovaria jacksoniana	Obovaria jacksoniana	Southern Hickorynut	Bivalve	Animals	Animalia	Tennessee
Obovaria olivaria	Obovaria olivaria	Hickorynut	Bivalve	Animals	Animalia	Tennessee
Obovaria retusa	Obovaria retusa	Ring Pink	Bivalve	Animals	Animalia	Tennessee
Obovaria subrotunda	Obovaria subrotunda	Round Hickorynut	Bivalve	Animals	Animalia	Tennessee
Pegias fabula	Pegias fabula	Littlewing Pearlymussel	Bivalve	Animals	Animalia	Tennessee
Plethobasus cicatricosus	Plethobasus cicatricosus	White Wartyback	Bivalve	Animals	Animalia	Tennessee
Plethobasus cooperianus	Plethobasus cooperianus	Orangefoot Pimpleback	Bivalve	Animals	Animalia	Tennessee
Plethobasus cyphyus	Plethobasus cyphyus	Sheepnose	Bivalve	Animals	Animalia	Tennessee
Pleurobema chattanoogaense	Pleurobema chattanoogaense	Painted Clubshell	Bivalve	Animals	Animalia	Tennessee
Pleurobema clava	Pleurobema clava	Clubshell	Bivalve	Animals	Animalia	Tennessee
Pleurobema cordatum	Pleurobema cordatum	Ohio Pigtoe	Bivalve	Animals	Animalia	Tennessee
Pleurobema decisum	Pleurobema decisum	Southern Clubshell	Bivalve	Animals	Animalia	Tennessee
Pleurobema georgianum	Pleurobema georgianum	Southern Pigtoe	Bivalve	Animals	Animalia	Tennessee
Pleurobema gibberum	Pleurobema gibberum	Cumberland Pigtoe	Bivalve	Animals	Animalia	Tennessee
Pleurobema hanleyianum	Pleurobema hanleyianum	Georgia Pigtoe	Bivalve	Animals	Animalia	Tennessee
Pleurobema johannis	Pleurobema johannis	Alabama Pigtoe	Bivalve	Animals	Animalia	Tennessee
Pleurobema oviforme	Pleurobema oviforme	Tennessee Clubshell	Bivalve	Animals	Animalia	Tennessee
Pleurobema perovatum	Pleurobema perovatum	Ovate Clubshell	Bivalve	Animals	Animalia	Tennessee
Pleurobema plenum	Pleurobema plenum	Rough Pigtoe	Bivalve	Animals	Animalia	Tennessee
Pleurobema rubellum	Pleurobema rubellum	Warrior Pigtoe	Bivalve	Animals	Animalia	Tennessee
Pleurobema rubrum	Pleurobema rubrum	Pyramid Pigtoe	Bivalve	Animals	Animalia	Tennessee
Pleurobema sintoxia	Pleurobema sintoxia	Round Pigtoe	Bivalve	Animals	Animalia	Tennessee
Pleurobema troschelianum	Pleurobema troschelianum	Alabama Clubshell	Bivalve	Animals	Animalia	Tennessee
Pleuronaia barnesiana	Pleuronaia barnesiana	Tennessee Pigtoe	Bivalve	Animals	Animalia	Tennessee
Pleuronaia dolabelloides	Pleuronaia dolabelloides	Slabside Pearlymussel	Bivalve	Animals	Animalia	Tennessee
Ptychobranchus foremanianus	Ptychobranchus foremanianus	Rayed Kidneyshell	Bivalve	Animals	Animalia	Tennessee
Ptychobranchus subtentum	Ptychobranchus subtentum	Fluted Kidneyshell	Bivalve	Animals	Animalia	Tennessee
Quadrula cylindrica cylindrica	Quadrula cylindrica cylindrica	Rabbitsfoot	Bivalve	Animals	Animalia	Tennessee
Quadrula cylindrica strigillata	Quadrula cylindrica strigillata	Rough Rabbitsfoot	Bivalve	Animals	Animalia	Tennessee
Quadrula fragosa	Quadrula fragosa	Winged Mapleleaf	Bivalve	Animals	Animalia	Tennessee
Quadrula intermedia	Quadrula intermedia	Cumberland Monkeyface	Bivalve	Animals	Animalia	Tennessee
Quadrula sparsa	Quadrula sparsa	Appalachian Monkeyface	Bivalve	Animals	Animalia	Tennessee
Simpsonaias ambigua	Simpsonaias ambigua	Salamander Mussel	Bivalve	Animals	Animalia	Tennessee
Strophitus connasaugaensis	Strophitus connasaugaensis	Alabama Creekmussel	Bivalve	Animals	Animalia	Tennessee
Strophitus undulatus	Strophitus undulatus	Creeper	Bivalve	Animals	Animalia	Tennessee
Toxolasma cylindrellus	Toxolasma cylindrellus	Pale Lilliput	Bivalve	Animals	Animalia	Tennessee
Toxolasma lividum	Toxolasma lividum	Purple Lilliput	Bivalve	Animals	Animalia	Tennessee
Uniomerus declivis	Uniomerus declivis	Tapered Pondhorn	Bivalve	Animals	Animalia	Tennessee
Venustaconcha sima	Venustaconcha sima	(a mussel)	Bivalve	Animals	Animalia	Tennessee
Villosa fabalis	Villosa fabalis	Rayed Bean	Bivalve	Animals	Animalia	Tennessee
Villosa iris	Villosa iris	Rainbow	Bivalve	Animals	Animalia	Tennessee
Villosa lienosa	Villosa lienosa	Little Spectaclecase	Bivalve	Animals	Animalia	Tennessee
Villosa nebulosa	Villosa nebulosa	Alabama Rainbow	Bivalve	Animals	Animalia	Tennessee
Villosa perpurpurea	Villosa perpurpurea	Purple Bean	Bivalve	Animals	Animalia	Tennessee
Villosa taeniata	Villosa taeniata	Painted Creekshell	Bivalve	Animals	Animalia	Tennessee
Villosa trabalis	Villosa trabalis	Cumberland Bean	Bivalve	Animals	Animalia	Tennessee
Villosa umbrans	Villosa umbrans	Coosa Creekshell	Bivalve	Animals	Animalia	Tennessee
Villosa vanuxemensis	Villosa vanuxemensis	Mountain Creekshell	Bivalve	Animals	Animalia	Tennessee
Villosa vibex	Villosa vibex	Southern Rainbow	Bivalve	Animals	Animalia	Tennessee
Barbicambarus cornutus	Barbicambarus cornutus	Bottle Brush Crayfish	Crustacean	Animals	Animalia	Tennessee
Cambarus angularis	Cambarus angularis	Angled Crayfish	Crustacean	Animals	Animalia	Tennessee
Cambarus bouchardi	Cambarus bouchardi	Big South Fork Crayfish	Crustacean	Animals	Animalia	Tennessee
Cambarus brachydactylus	Cambarus brachydactylus	Shortfingered Crayfish	Crustacean	Animals	Animalia	Tennessee
Cambarus clivosus	Cambarus clivosus	Short Mountain Crayfish	Crustacean	Animals	Animalia	Tennessee
Cambarus conasaugaensis	Cambarus conasaugaensis	Mountain Crayfish	Crustacean	Animals	Animalia	Tennessee
Cambarus crinipes	Cambarus crinipes	Hairyfoot Crayfish	Crustacean	Animals	Animalia	Tennessee
Cambarus cymatilis	Cambarus cymatilis	Conasauga Blue Burrower	Crustacean	Animals	Animalia	Tennessee
Cambarus deweesae	Cambarus deweesae	Valley Flame Crayfish	Crustacean	Animals	Animalia	Tennessee
Cambarus extraneus	Cambarus extraneus	Chickamauga Crayfish	Crustacean	Animals	Animalia	Tennessee
Cambarus hiwasseensis	Cambarus hiwasseensis	Hiwassee Crayfish	Crustacean	Animals	Animalia	Tennessee
Cambarus manningi	Cambarus manningi	(a crayfish)	Crustacean	Animals	Animalia	Tennessee
Cambarus obeyensis	Cambarus obeyensis	Obey Crayfish	Crustacean	Animals	Animalia	Tennessee
Cambarus pristinus	Cambarus pristinus	Pristine Crayfish	Crustacean	Animals	Animalia	Tennessee
Cambarus sp. 1	Cambarus sp. 1	Emory River Crayfish	Crustacean	Animals	Animalia	Tennessee
Cambarus sp?	Cambarus sp?	Obed Crayfish	Crustacean	Animals	Animalia	Tennessee
Cambarus stockeri	Cambarus stockeri	Cocoa Crayfish	Crustacean	Animals	Animalia	Tennessee
Cambarus williami	Cambarus williami	Brawleys Fork Crayfish	Crustacean	Animals	Animalia	Tennessee
Fallicambarus hortoni	Fallicambarus hortoni	Hatchie Burrowing Crayfish	Crustacean	Animals	Animalia	Tennessee
Orconectes alabamensis	Orconectes alabamensis	Alabama Crayfish	Crustacean	Animals	Animalia	Tennessee
Orconectes barrenensis	Orconectes barrenensis	(a crayfish)	Crustacean	Animals	Animalia	Tennessee
Orconectes burri	Orconectes burri	Blood River Crayfish	Crustacean	Animals	Animalia	Tennessee
Orconectes cooperi	Orconectes cooperi	Flint River Crayfish	Crustacean	Animals	Animalia	Tennessee
Orconectes forceps	Orconectes forceps	Surgeon Crayfish	Crustacean	Animals	Animalia	Tennessee
Orconectes pagei	Orconectes pagei	Big Sandy Crayfish	Crustacean	Animals	Animalia	Tennessee
Orconectes shoupi	Orconectes shoupi	Nashville Crayfish	Crustacean	Animals	Animalia	Tennessee
Orconectes taylori	Orconectes taylori	Crescent Crayfish	Crustacean	Animals	Animalia	Tennessee
