scientific_name_edited	Scientific Name	Common Name	provided_taxonomy_group	derived_kingdom_group	Kingdom	State
Anas rubripes	Anas rubripes	American black duck	Birds	Animals	Animalia	Virginia
Haematopus palliatus	Haematopus palliatus	American oystercatcher	Birds	Animals	Animalia	Virginia
Scolopax minor	Scolopax minor	American woodcock	Birds	Animals	Animalia	Virginia
Peucaea aestivalis	Peucaea aestivalis	Bachman's sparrow	Birds	Animals	Animalia	Virginia
Riparia riparia	Riparia riparia	Bank swallow	Birds	Animals	Animalia	Virginia
Tyto alba	Tyto alba	Barn owl	Birds	Animals	Animalia	Virginia
Megaceryle lcyon	Megaceryle lcyon	Belted Kingfisher	Birds	Animals	Animalia	Virginia
Catharus bicknelli	Catharus bicknelli	Bicknell's thrush	Birds	Animals	Animalia	Virginia
Laterallus jamaicensis	Laterallus jamaicensis	Black rail	Birds	Animals	Animalia	Virginia
Rynchops niger	Rynchops niger	Black skimmer	Birds	Animals	Animalia	Virginia
Mniotilta varia	Mniotilta varia	Black-and-white warbler	Birds	Animals	Animalia	Virginia
Pluvialis squatarola	Pluvialis squatarola	Black-bellied plover (winter)	Birds	Animals	Animalia	Virginia
Coccyzus erythropthalmus	Coccyzus erythropthalmus	Black-billed cuckoo	Birds	Animals	Animalia	Virginia
Nycticorax nycticorax	Nycticorax nycticorax	Black-crowned night-heron	Birds	Animals	Animalia	Virginia
Branta bernicla	Branta bernicla	Brant	Birds	Animals	Animalia	Virginia
Toxostoma rufum	Toxostoma rufum	Brown thrasher	Birds	Animals	Animalia	Virginia
Cardellina canadensis	Cardellina canadensis	Canada warbler	Birds	Animals	Animalia	Virginia
Setophaga  cerulea	Setophaga  cerulea	Cerulean warbler	Birds	Animals	Animalia	Virginia
Chaetura pelagica	Chaetura pelagica	Chimney swift	Birds	Animals	Animalia	Virginia
Rallus longirostris	Rallus longirostris	Clapper rail	Birds	Animals	Animalia	Virginia
Sterna hirundo	Sterna hirundo	Common tern	Birds	Animals	Animalia	Virginia
Calidris alpina hudsonia	Calidris alpina hudsonia	Dunlin	Birds	Animals	Animalia	Virginia
Tyrannus tyrannus	Tyrannus tyrannus	Eastern kingbird	Birds	Animals	Animalia	Virginia
Sturnella magna	Sturnella magna	Eastern meadowlark	Birds	Animals	Animalia	Virginia
Pipilo erythrophthalmus	Pipilo erythrophthalmus	Eastern towhee	Birds	Animals	Animalia	Virginia
