scientific_name_edited	Scientific Name	Common Name	provided_taxonomy_group	derived_kingdom_group	Kingdom	State
Plethodon cylindraceus	Plethodon cylindraceus	White-spotted Slimy Salamander	Amphibian	Animals	Animalia	West Virginia
Gyrinophilus subterraneus	Gyrinophilus subterraneus	West Virginia Spring Salamander	Amphibian	Animals	Animalia	West Virginia
Plethodon wehrlei	Plethodon wehrlei	Wehrle's Salamander	Amphibian	Animals	Animalia	West Virginia
Plethodon hoffmani	Plethodon hoffmani	Valley And Ridge Salamander	Amphibian	Animals	Animalia	West Virginia
Pseudacris feriarum	Pseudacris feriarum	Upland Chorus Frog	Amphibian	Animals	Animalia	West Virginia
Ambystoma barbouri	Ambystoma barbouri	Streamside Salamander	Amphibian	Animals	Animalia	West Virginia
Ambystoma texanum	Ambystoma texanum	Smallmouth Salamander	Amphibian	Animals	Animalia	West Virginia
Plethodon glutinosus	Plethodon glutinosus	Slimy Salamander	Amphibian	Animals	Animalia	West Virginia
Plethodon virginia	Plethodon virginia	Shenandoah Mountain Salamander	Amphibian	Animals	Animalia	West Virginia
Desmognathus monticola	Desmognathus monticola	Seal Salamander	Amphibian	Animals	Animalia	West Virginia
Eurycea bislineata	Eurycea bislineata	Northern Two-lined Salamander	Amphibian	Animals	Animalia	West Virginia
Gyrinophilus porphyriticus porphyriticus	Gyrinophilus porphyriticus porphyriticus	Northern Spring Salamander	Amphibian	Animals	Animalia	West Virginia
Lithobates pipiens (R. pipiens)	Lithobates pipiens (R. pipiens)	Northern Leopard Frog	Amphibian	Animals	Animalia	West Virginia
Desmognathus fuscus	Desmognathus fuscus	Northern Dusky Salamander	Amphibian	Animals	Animalia	West Virginia
Acris crepitans	Acris crepitans	Northern Cricket Frog	Amphibian	Animals	Animalia	West Virginia
Necturus maculosus	Necturus maculosus	Mudpuppy	Amphibian	Animals	Animalia	West Virginia
Pseudacris brachyphona	Pseudacris brachyphona	Mountain Chorus Frog	Amphibian	Animals	Animalia	West Virginia
Pseudotriton montanus diastictus	Pseudotriton montanus diastictus	Midland Mud Salamander	Amphibian	Animals	Animalia	West Virginia
Ambystoma opacum	Ambystoma opacum	Marbled Salamander	Amphibian	Animals	Animalia	West Virginia
Eurycea longicauda	Eurycea longicauda	Longtail Salamander	Amphibian	Animals	Animalia	West Virginia
Gyrinophilus porphyriticus duryi	Gyrinophilus porphyriticus duryi	Kentucky Spring Salamander	Amphibian	Animals	Animalia	West Virginia
Ambystoma jeffersonianum	Ambystoma jeffersonianum	Jefferson Salamander	Amphibian	Animals	Animalia	West Virginia
Aneides aeneus	Aneides aeneus	Green Salamander	Amphibian	Animals	Animalia	West Virginia
Anaxyrus fowleri	Anaxyrus fowleri	Fowler's Toad	Amphibian	Animals	Animalia	West Virginia
Scaphiopus holbrookii	Scaphiopus holbrookii	Eastern Spadefoot	Amphibian	Animals	Animalia	West Virginia
Cryptobranchus alleganiensis	Cryptobranchus alleganiensis	Eastern Hellbender	Amphibian	Animals	Animalia	West Virginia
Plethodon kentucki	Plethodon kentucki	Cumberland Plateau Salamander	Amphibian	Animals	Animalia	West Virginia
Plethodon punctatus	Plethodon punctatus	Cow Knob (white Spotted) Salamander	Amphibian	Animals	Animalia	West Virginia
Plethodon nettingi	Plethodon nettingi	Cheat Mountain Salamander	Amphibian	Animals	Animalia	West Virginia
Eurycea lucifuga	Eurycea lucifuga	Cave Salamander	Amphibian	Animals	Animalia	West Virginia
Acris blanchardi	Acris blanchardi	Blanchard's Cricket Frog	Amphibian	Animals	Animalia	West Virginia
Desmognathus quadramaculatus	Desmognathus quadramaculatus	Black-bellied Salamander	Amphibian	Animals	Animalia	West Virginia
Desmognathus welteri	Desmognathus welteri	Black Mountain Salamander	Amphibian	Animals	Animalia	West Virginia
